SONG_ID,LYRICS,happy,angry,dislike,fear,sad,surprise
9270,"이렇게 멋진 파란 하늘 위로 
날으는 마법 융단을 타고 
이렇게 멋진 푸른 세상 속을 
날으는 우리 두 사람 
신경 쓰지 마요
그렇고 그런 얘기들
골치 아픈일은
내일로 미뤄버려요
인생은 한번 뿐 후회하지 마요
진짜로 가지고 싶은 걸 가져요
이렇게 멋진 파란 하늘 위에
지어진 마법 정원으로 와요
색색의 보석 꽃과 노루 비단
달콤한 우리 두 사람
웬일인지 인생이 재미 없다면
지난 일은 모두 다 잊어버려요
기회는 한번 뿐 실수하지 마요
진짜로 해내고 싶은 걸 찾아요
용감하게 씩씩하게
오늘의 당신을 버려봐요
이렇게 멋진 파란 하늘 위로
나르는 마법융단을 타고
이렇게 멋진 장미빛 인생을
당신과 나와 우리 둘이 함께
인생은 한번 뿐 후회하지 마요
진짜로 가지고 싶은 걸 가져요
용감하게 씩씩하게
오늘의 당신을 버려봐요
이렇게 멋진 파란 하늘 위로
날으는 마법 융단을 타고
이렇게 멋진 초록 바다속을
달리는 빨간 자동차를 타고
이렇게 멋진 푸른 세상 속을
날으는 마법 융단을 타고
이렇게 멋진 장미빛 인생을
당신과 나와 우리 둘이 함께",0.731059,0.039905,0.065902,0.018133,0.137096,0.007905
19807,"처음이라 그래 며칠뒤엔 
괜찮아져 
그 생각만으로 벌써 일년이 
너와 만든 기념일마다 
슬픔은 나를 찾아와 
처음 사랑 고백하며 
설렌 수줍음과 
우리 처음 만난날 지나가고 
너의 생일엔 눈물의 케이크 
촛불 켜고서 축하해 
I believe in you 
I believe in your mind 
벌써 일년이 지났지만 
일년뒤에도 그 일년뒤에도 
널 기다려 
너무 보고싶어 돌아와줘 
말 못했어 
널 보는 따뜻한 그의 눈빛과 
니 왼손에 껴진 반지보다 
빛난 니 얼굴 때문에 
I believe in you 
I believe in your mind 
다시 시작한 널 알면서 
이젠 나없이 추억을 만드는 
너라는걸
내가 기억하는 추억은 언제나 
지난 웃음과 얘기와 바램들 
또 새로 만들 추억은 하나뿐 
내 기다림과 눈물 속 너일뿐 
I believe in you 
I believe in your mind 
다시 시작한 널 알면서 
이젠 나없이 추억을 만드는 
너라는걸 
I believe in you 
I believe in your mind 
벌써 일년이 지났지만 
일년뒤에도 그 일년뒤에도 
널 기다려",0.552486,0.074832,0.041111,0.008867,0.318835,0.00387
32616,"여기 숨쉬는 이 시간은
나를 어데로 데려갈까
많은 기쁨과 한숨들이
뒤섞인 이곳에서
3 4
랄랄랄랄라 랄랄랄라
랄라랄랄랄라 랄랄랄라
랄라 랄랄라 랄라랄라
랄라랄랄라랄라
랄랄랄랄라 랄랄랄라
라라랄랄랄라 랄랄랄라
랄랄랄 랄랄랄랄라
랄 라랄랄라
나 그대 우리 모두
내가 힘들던 그 모든 기억이
아직 남아 있는 가슴에
따뜻하게 피어나는
느낌이 있어
내가 바라는 그 모든 꿈들이
전부 이뤄질 순 없어도
가장 넓고 깊은 사랑
지금 내 안에 있어
나의 이 마음
영원히 갖고 싶어
모두 함께 나누며
3 4
여기 숨쉬는 이 시간은
나를 어데로 데려갈까
많은 기쁨과 한숨들이
뒤섞인 이곳에서
사랑만으로 늘 가득한
그런 내일로 가고 싶어
서로가 함께
영원히 행복하도록
나 그대 우리 모두
아 아파한 시간 만큼
기쁨을 만들어 가요
나의 그 모든 눈물들 만큼
사랑을 만들어가요 big up

오호 서로 아껴주는
마음을 기억하며
우리가 만들어 가요
3 4
여기 숨쉬는 이 시간은
나를 어데로 데려갈까
많은 기쁨과 한숨들이
뒤섞인 이곳에서
사랑만으로 늘 가득한
그런 내일로 가고 싶어
서로가 함께 영원히
행복하도록
나 그대 우리 모두
거친 파도의 바다처럼
때론 아픔도 왔었지만
슬픈 바다를 감싸주던
넌 하늘과 같았어
사랑만으로 늘 가득한
밝은 미래로 가고싶어
서로가 함께 영원히
행복하도록 나
그대 우리 모두
모두가 함께 여기서
만들어 가요
나 그대 우리 모두",0.718446,0.015322,0.012465,0.008025,0.243895,0.001846
33133,"젓가락질 잘해야만 밥을 먹나요 
잘못해도 서툴러도 밥 잘 먹어요 
그러나 주위사람 내가 밥먹을 때 
한마디씩하죠 (너 밥상에 불만있냐?) 

옆집아저씨와 밥을 먹었지 
그아저씬 내젓가락질 보고 뭐라 그래 
하지만 난 이게 좋아 편해 밥만 잘먹지 
나는 나에요 상관말아요 요 요 

청바지 입고서 회사에 가도 
깔끔하기만 하면 괜찮을텐데 
여름교복이 반바지 라면 
깔끔하고 시원해 괜찮을 텐데 

사람들눈 의식하지말아요 
즐기면서 살아갈수있어요 
내 개성에사는 이세상 이에요 
자신을 만들어 봐요 

춤을 추고싶을때는 춤을 쳐요 
할아버지 할머니도 춤을쳐요 
그깟나이 무슨상관 이에요 
다같이 춤을 쳐봐요 이렇게 

뒷통수가 이뻐야만 빡빡 미나요 
뒷통수가 안이뻐도 빡빡 밀어요 
그러나 주위사람 내머리를 보면 
한마디하죠 (너 사회에 불만있냐?) 

옆집아저씨 반짝대머리 
옆머리로 소갈머리 감추려고 애써요 
억지로 빗어넘긴 머리 약한 모습 이에요 
감추지말아요 빡빡밀어요 요 요 

청바지 입고서 회사에 가도 
깔끔하기만 하면 괜찮을텐데 
여름교복이 반바지 라면 
깔끔하고 시원해 괜찮을 텐데 

사람들 눈 의식하지말아요 
즐기면서 살아갈수있어요 
내 개성에사는 이세상 이에요 
자신을 만들어 봐요 

노래 하고싶을때는 노래해요 
할아버지 할머니도 노래해요 
그깟나이 무슨상관 이에요 
다같이 노래해 봐요 이렇게 -",0.304481,0.096172,0.405351,0.06583,0.121989,0.006176
70696,"그래 난 취했는지도 몰라 실수인지도 몰라 
아침이면 까마득히 생각이 안나 
불안해 할지도 몰라 
하지만 꼭 오늘 밤엔 해야 할 말이 있어 
약한 모습 미안해도 술김에 하는 
말이라 생각지는 마 

언제나 네 앞에 서면 준비했던 말도 
왜 난 반대로 말해놓고 돌아서 후회하는지 
이젠 고백할께 처음부터 너를 사랑해 왔다고 
이렇게 널 사랑해 

어설픈 나의 말이 촌스럽고 못 미더워도 
그냥 하는 말이 아냐. 
두 번 다시 이런 일 없을 꺼야. 
아침이 밝아오면 다시 한번 널 품에 안고 
사랑한다 말할께 

자꾸 왜 웃기만 하는 거니 
농담처럼 들리니 아무 말도 하지 않고 
어린애 보듯 날 바라보기만 하니 
언제나 네 앞에 서면 준비했던 말도 
왜 난 반대로 말해놓고 돌아서 후회하는지 
이젠 고백할께 처음부터 너를 사랑해왔다고 
이렇게 널 사랑해 

어설픈 나의 말이 촌스럽고 못미더워도 
아무에게나 늘 이런 얘기하는 
그런 사람은 아냐 
너만큼이나 나도 참 어색해 
너를 똑바로 쳐다볼 수 없어 

자꾸만 아까부터 했던 말 또 해 미안해 
하지만 오늘 난 모두 다 말 할꺼야 
이렇게 널 사랑해 

어설픈 나의 말이 촌스럽고 못미더워도 
그냥하는 말이 아냐 
두번다시 이런일 없을거야 
아침이 밝아오면 다시 한번 널 품에 안고 
사랑한다 말할께- 

널 사랑해 이렇게 널 사랑해 어설픈 나의 말이...",0.26599,0.045548,0.15106,0.102962,0.43099,0.00345
81013,"예전보다 지금 니가
더욱 괜찮을거야 
허전했던 나의 빈 곳을
이젠 채워 줬으니
아름다운 세상에서
많이 외로워 하며
내 반쪽을 찾아 해맨건
모두 옛날 얘긴걸
내 생애 이 시간만을
얼마나 기다렸는지
마치 꿈만 같은걸
이젠 나 혼자가 아닌
너와 함께 하는거야
Oh LOVE 왜 이제서야
많이 외롭던 나를 찾아온거야
Oh LOVE 너를 사랑해
이제 모든 시간들을 나와 함께해 
All right all right
When I saw you one time
I lost my heart to you
Oops baby I'll be loving you
forever with you now
Baby don't go too far
I won't let you go
Please don't go
I want to hold you tight
and I need your love
얼마나 수 많은 날을
기다려 왔는줄 아니
이젠 모두 앞에서
너의 손을 꼭 붙잡고
우린 함께 하는거야
Oh LOVE 왜 이제서야
많이 외롭던 나를 찾아온거야
Oh LOVE 너를 사랑해
이제 모든 시간들을 나와 함께해
과거 따윈 모두 잊고 나와 함께 할
많은 시간을 추억으로 만들어
Oh LOVE 왜 이제서야
많이 외롭던 나를 찾아온거야
Oh LOVE 너를 사랑해
이제 모든 시간들을 나와 함께해",0.751958,0.025999,0.019591,0.011266,0.184111,0.007075
85257,"모두 제정신이 아니야 다들  
미쳐가고만 있어  
어느 누굴 믿어 어찌믿어  
더는 못믿어  
누가 누굴 욕하는거야 그러는  
넌 얼마나 깨끗해  
너나 할것없이 세상속에  
속물들이야  
바꿔 바꿔 바꿔 내 모든걸  
다 바꿔 바꿔 바꿔  
사랑도 다 바꿔 바꿔 바꿔 거짓은  
다 바꿔 바꿔 바꿔 세상을 다 바꿔 
THANGTH IT WAS A MUST  
TO TRUST YOU NOW I CRUSH  
YOU ANALYSIN MY BRAIN  
너의 가식적인 사랑  
나를 다시 사랑하길 바래  
내가 다시 돌아오길 바래  
그럼 바꾸길 바래 늦기전에  
날 잡길 바래 
한 여자의 지난 과거가 왜  
용서받지 못할 일이야  
맘에 걸렸다면 처음부터 왜  
날 사랑해  
모든 것이 변해버렸어 예전의  
나로 착각하지마  
나를 버린것을 후회해도  
이미 늦었어  
바꿔 바꿔 바꿔 내 모든걸  
다 바꿔 바꿔 바꿔  
사랑도 다 바꿔 바꿔  
바꿔 거짓은  
다 바꿔 바꿔 바꿔 세상을  
다 바꿔 바꿔 바꿔 내 모든걸 다 
바꿔 바꿔 바꿔 
사랑도 다 바꿔 바꿔 바꿔 
거짓은 다 바꿔 바꿔 
바꿔 세상을 
다 바꿔 바꿔",0.212914,0.180329,0.202256,0.027983,0.357737,0.018781
85258,"사실이 아니길 믿고 싶었어 
널 놓치기 싫었어 
혹시나 우리의 사랑이 잘못 돼
끝나면 어떡해 
가슴은 아프지만 모른척 해야해 
이별보단 덜 아플 테니까 
설마했던 네가 나를 떠나버렸어 
설마했던 네가 나를 버렸어 
깊었던 정을 쉽게 잊을 수 없어 
늦었어 이미 난 네 여자야 
오오오오오오오오 독한 
여자라 하지마 
오오오오오오오오 
사랑했으니 책임져 
다시는 사랑에 속지 않기를 나 
간절히 바랬어 
네가 내 인생의 마지막 남자가 
돼 주길 바랬어 
하지만 이게 뭐야 눈물 뿐이야 
이제 남은건 절망 뿐이야 
설마했던 네가 나를 떠나버렸어 
설마했던 네가 나를 버렸어 
깊었던 정을 쉽게 잊을 수 없어 
늦었어 이미 난 네 여자야 
오오오오오오오오 
독한 여자라 하지마 
오오오오오오오오 
사랑했으니 책임져 
날 봐 잘 봐 내 사랑을 다시 봐 
와와 봐봐 이번이 마지막 
뭣하러 뭣하러 떠나 날 
뭣하러 뭣하러 버려 
이제 잔소리 말고 내게로 
다시 와줘 와줘",0.228696,0.058486,0.12516,0.024232,0.562274,0.001152
87048,"아 당신은 못믿을 사람
아 당신은 철없는 사람
아무리 달래봐도
어쩔순 없지만
마음 하나는
괜찮은 사람
오늘은 들국화
또 내일은 장미꽃
치근 치근 치근 대다가
잠이들겠지
난 이제 지쳤어요
땡벌(땡벌)
기다리다지쳤어요
땡벌(땡벌)
혼자서는 이 밤이 
너무너무추워요--
당신은 못말리는
땡벌(땡벌)
당신은 날 울리는
땡벌(땡벌)
혼자서는 이 밤이 
너무너무길어요

아 당신은 야속한 사람
아 당신은 모를 사람
밉다가도 돌아서면
마음에 걸리는
마음 하나는
따뜻한 사람
바람이 맴돌다
또 맴돌다 어딘가
기웃 기웃 기웃 대다가
잠이 들겠지
난 이제 지쳤어요
땡벌(땡벌)
기다리다지쳤어요
땡벌(땡벌)
혼자서는 이 밤이 
너무너무추워요--
당신은 못말리는
땡벌(땡벌)
당신은 날 울리는
땡벌(땡벌)
혼자서는 이 밤이 
너무너무길어요
당신을 사랑해요
땡벌(땡벌)
당신을 좋아해요
땡벌(땡벌)
밉지만 당신을
너무너무사랑해",0.080411,0.086381,0.361087,0.027071,0.443307,0.001744
105014,"떠나요 둘이서 모든 것 훌훌 버리고 
제주도 푸른밤 그 별 아래 

이제는 더이상 얽메이긴 우리 싫어요 
신문에 TV에 월급봉투에 

아파트 담벼락 보다는 
바달 볼 수 있는 창문이 좋아요 
낑깡 밭 일구고 감귤도 
우리 둘이 가꿔봐요 

정말로 그대가 외롭다고 느껴진다면 
떠나요 제주도 푸른밤 하늘 아래로 

떠나요 둘이서 힘들게 별로 없어요 
제주도 푸른밤 그 별 아래 

그동안 우리는 오랫동안 지쳤잖아요
술집에 카페에 많은 사람에

 도시의 침묵보다는 바다의 속삭임이 좋아요 
신혼부부 밀려와 똑같은 사진찍기 구경하며 

정말로 그대가 재미없다 느껴진다면 
떠나요 제주도 푸르매가 살고 있는 곳 -",0.701202,0.020209,0.084624,0.008878,0.184371,0.000716
